序号,时间(s),电压,阻抗
1361,171.469,-0.058281532692119185,7105.353027
1362,171.597,0.012728274785518022,7107.175781
1363,171.721,0.06832479805602829,7111.631836
1364,171.847,0.09556403163073963,7114.05957
1365,171.973,0.09331010275704198,7110.260742
1366,172.099,0.02530010224400844,7112.837402
1367,172.225,-0.04287245071371056,7119.35791
1368,172.351,-0.1371041300141115,7111.476563
1369,172.477,-0.21390469405101287,7107.496582
1370,172.603,-0.2646634419485721,7095.163086
1371,172.729,-0.2711647260612032,7063.018555
1372,172.855,-0.24519104257508068,7055.319824
1373,172.981,-0.2033553717753768,7052.262207
1374,173.107,-0.14373212404006716,7046.981934
1375,173.233,-0.12029321874291299,7050.931152
1376,173.36,-0.09288268028979522,7051.644043
1377,173.485,-0.08862584882263748,7044.901855
1378,173.611,-0.08898210062695404,7042.268555
1379,173.737,-0.07489818404626059,7041.958008
1380,173.863,-0.05852746399289238,7042.939941
1381,173.989,0.02253510498012129,7043.720703
1382,174.115,0.0860488605168778,7040.824219
1383,174.241,0.12687551774869613,7043.457031
1384,174.367,0.1656131260399602,7041.016602
1385,174.493,0.15909657356701706,7039.235352
1386,174.62,0.11934329067342231,7047.021973
1387,174.745,0.07533827368708167,7043.587402
1388,174.871,0.02456268274642916,7044.273438
1389,174.997,0.010652235819818019,7042.403809
1390,175.123,0.005215010648467268,7041.271973
1391,175.249,0.03651023538929706,7039.289551
1392,175.375,0.07718833462445858,7047.790039
1393,175.501,0.11502953514884634,7045.443848
1394,175.627,0.12266259610503312,7043.381836
1395,175.753,0.11710572969307703,7043.469238
1396,175.88,0.08120072049208586,7040.461426
1397,176.005,0.00851373876892258,7037.516113
1398,176.131,-0.08921509811588763,7043.23584
1399,176.257,-0.18100492753384517,7044.972168
1400,176.383,-0.2495636207448692,7044.23584
1401,176.51,-0.3194311089009276,7041.240723
1402,176.635,-0.34219280646084294,7046.100098
1403,176.761,-0.24591955214399366,7042.82666
1404,176.887,-0.14821972259066057,7046.443848
1405,177.013,-0.035046851292418496,7049.188965
1406,177.139,0.045022546325661855,7049.028809
1407,177.265,0.054839435170867284,7049.91748
1408,177.391,0.014928587597144135,7051.916016
1409,177.517,-0.04521819033544352,7052.219727
1410,177.642,-0.11587199198590922,7051.980957
1411,177.768,-0.18676277769335406,7053.471191
1412,177.895,-0.2161016686860653,7054.865723
1413,178.021,-0.2105467929031135,7054.265625
1414,178.147,-0.19355252105882745,7048.4375
1415,178.275,-0.17805901006082353,7051.562988
1416,178.399,-0.16848149393044803,7051.775879
1417,178.525,-0.2177884587043993,7046.779785
1418,178.65,-0.28261189720827673,7055.594727
1419,178.776,-0.3283456597677624,7050.962402
1420,178.902,-0.3895740022139944,7056.13916
1421,179.029,-0.33817902651093895,7060.648926
1422,179.155,-0.2921298002823684,7075.773926
1423,179.281,-0.2310309272788236,7058.271484
1424,179.406,-0.1819946256822239,7054.529297
1425,179.533,-0.16333922459281905,7053.040039
1426,179.659,-0.13448061226664,7054.350586
1427,179.785,-0.15563152725136636,7056.765137
1428,179.911,-0.10885635581414416,7058.779297
1429,180.036,-0.10597695074878591,7053.887695
1430,180.163,-0.09757929714141532,7050.007324
1431,180.289,-0.13503641458512564,7050.120605
1432,180.415,-0.17604326966393447,7042.398926
1433,180.541,-0.19943005416664406,7045.698242
1434,180.666,-0.22356549710715834,7042.833008
1435,180.793,-0.19780485523195918,7041.742676
1436,180.918,-0.18373250130928595,7043.789063
1437,181.044,-0.18294946225790162,7041.695801
1438,181.171,-0.18933162535525888,7043.756836
1439,181.296,-0.21403424942656543,7041.35498
1440,181.423,-0.24937316606281976,7043.435059
1441,181.549,-0.26897150078454446,7039.446289
1442,181.674,-0.2750616887933386,7044.74707
1443,181.801,-0.23979857060370083,7046.836914
1444,181.927,-0.181247236700059,7044.189941
1445,182.053,-0.12185096782133739,7041.09668
1446,182.178,-0.07034853968278677,7045.028809
1447,182.305,-0.03266346540908096,7036.123535
1448,182.43,-0.01309045901446289,7045.467285
1449,182.557,-0.015732089968292316,7045.640137
1450,182.683,-0.024255130802032853,7048.70459
1451,182.809,-0.046963138062207234,7042.856934
1452,182.934,-0.07125170149457942,7079.178223
1453,183.06,-0.0959637151987158,7114.465332
1454,183.188,-0.11716356135781426,7116.461426
1455,183.313,-0.13422423669409486,7122.27002
1456,183.438,-0.14736430722779673,7121.138184
1457,183.564,-0.15903818757578977,7140.507324
1458,183.69,-0.16069460899880916,7141.027832
1459,183.817,-0.16044725644026855,7152.179199
1460,183.942,-0.15936161082566916,7143.175781
1461,184.069,-0.14812627065317266,7161.716309
1462,184.195,-0.15042953588692823,7152.171875
1463,184.32,-0.14414107342576757,7156.63916
1464,184.447,-0.14919520468419786,7156.959961
1465,184.572,-0.16276483104563916,7148.135742
1466,184.698,-0.188869863222063,7150.546387
1467,184.825,-0.20713916370594085,7075.035645
1468,184.95,-0.22043550698352518,7045.784668
1469,185.076,-0.21611594900331574,7046.899902
1470,185.203,-0.185209641907456,7046.63623
1471,185.328,-0.1338008977646362,7046.897461
1472,185.454,-0.07668603351892057,7039.119141
1473,185.58,-0.022536754131276628,7043.896973
1474,185.706,0.02876315855459215,7041.87207
1475,185.833,0.041263408795582025,7040.684082
1476,185.959,0.017440134721294805,7045.745117
1477,186.084,-0.028791877634447828,7044.908203
1478,186.211,-0.08754326768059316,7043.532715
1479,186.336,-0.14234733000997235,7045.878906
1480,186.462,-0.18716247837361066,7042.794434
1481,186.588,-0.22089034540074912,7042.927246
1482,186.715,-0.25161072267647894,7044.548828
1483,186.841,-0.27416270972094847,7039.595703
1484,186.967,-0.3045297874816841,7041.408691
1485,187.092,-0.32910589636926374,7043.199219
1486,187.218,-0.3308551654704362,7038.79834
1487,187.344,-0.31516164714065237,7039.475586
1488,187.471,-0.2658255406657872,7041.166504
1489,187.596,-0.20920398133306445,7043.246094
1490,187.722,-0.14516323234048467,7043.224609
1491,187.849,-0.10086833374064315,7041.383789
1492,187.974,-0.07842019062085405,7050.67627
1493,188.1,-0.10876951928295651,7044.085938
1494,188.226,-0.1385863347240233,7042.490723
1495,188.352,-0.19223591124247855,7043.6875
1496,188.479,-0.23293157273827636,7040.84668
1497,188.604,-0.27378950114400585,7045.820801
1498,188.73,-0.30730952824003177,7043.093262
1499,188.856,-0.3152088667492259,7043.461426
1500,188.983,-0.2946445475227624,7044.072754
1501,189.108,-0.25192768702834484,7034.241699
1502,189.234,-0.18452227923252523,7043.168945
1503,189.36,-0.11109065095165951,7045.897949
1504,189.487,-0.056163263782985556,7043.168457
1505,189.612,-0.016668732932005742,7046.225098
1506,189.738,-0.006122572495905498,7050.756348
1507,189.864,-0.017412046462393947,7048.283203
1508,189.99,-0.0580291758473087,7057.768066
1509,190.116,-0.08480829674046418,7067.109863
1510,190.242,-0.10520135426054432,7053.29248
1511,190.368,-0.1202004041938277,7063.57373
1512,190.494,-0.10506166876723438,7061.336914
1513,190.62,-0.07964664121156798,7067.043457
1514,190.746,-0.051812762566171865,7066.464844
1515,190.872,-0.01611461433962151,7069.37207
1516,190.998,0.002075975219705727,7068.779297
1517,191.124,0.008229080355422311,7064.937012
1518,191.25,0.015531747553321708,7065.613281
1519,191.376,0.0019551707829857943,7066.922852
1520,191.502,-0.01248487071477805,7068.355469
1521,191.628,-0.03020175646987082,7071.490234
1522,191.754,-0.05338035191270258,7072.62793
1523,191.88,-0.08285725274385976,7072.007813
1524,192.006,-0.09874367925754432,7070.291504
1525,192.132,-0.08667125558820139,7064.522461
1526,192.258,-0.05215557002980504,7072.508301
1527,192.384,-0.013959887914781432,7065.685547
1528,192.51,0.03538331936519095,7068.205566
1529,192.636,0.06066954429994538,7076.005371
1530,192.762,0.05358867536261099,7086.475586
1531,192.888,0.025666261750200883,7067.207031
1532,193.014,-0.031426574572645874,7070.123047
1533,193.14,-0.07531555286213312,7069.240234
1534,193.266,-0.1144365034242433,7083.218262
1535,193.392,-0.09980015878646308,7058.112305
1536,193.517,-0.06419159193212387,7068.168457
1537,193.644,-0.015712870017201102,7055.147461
1538,193.769,0.022170943724260036,7048.251953
1539,193.896,-0.0025486023421253316,7039.509766
1540,194.022,-0.041711095898414347,7042.74707
1541,194.148,-0.103121342224526,7042.162598
1542,194.273,-0.1459131479223094,7042.314453
1543,194.4,-0.16661049895216337,7041.791992
1544,194.526,-0.141401261228258,7038.54248
1545,194.651,-0.10245011139992198,7043.128418
1546,194.778,-0.062113388837934234,7041.174316
1547,194.904,-0.034294859618493816,7039.407715
1548,195.03,-0.035072271386400004,7041.829102
1549,195.156,-0.05905795370924797,7039.3125
1550,195.281,-0.10407031224690506,7043.45752
1551,195.408,-0.15140139657959356,7039.84375
1552,195.534,-0.19831037784864394,7042.414063
1553,195.66,-0.24694198257692654,7041.211426
1554,195.785,-0.2893062839870845,7042.647461
1555,195.911,-0.3274164337363942,7042.257813
1556,196.038,-0.36469515776125866,7041.323242
1557,196.164,-0.3720810659784878,7042.967773
1558,196.29,-0.3591465778233417,7040.208008
1559,196.416,-0.3072885272960383,7043.751465
1560,196.541,-0.2306208838220732,7040.496582
1561,196.668,-0.13181348288240663,7041.537598
1562,196.794,-0.04113090838113364,7042.669922
1563,196.92,0.028239277840768663,7044.368652
1564,197.046,0.059006727235185005,7042.577637
1565,197.171,0.04074714249770179,7041.115234
1566,197.297,-0.01043035182552432,7043.112305
1567,197.424,-0.06560922176779138,7040.88623
1568,197.55,-0.13008395888791108,7043.066895
1569,197.676,-0.14910743282332425,7042.566406
1570,197.801,-0.13681731740629044,7042.519531
1571,197.928,-0.10451814533066321,7042.877441
1572,198.054,-0.047922514321230805,7042.682129
1573,198.18,-0.007280631219852146,7045.591797
1574,198.306,0.021109703783853413,7044.021973
1575,198.431,0.03489057143194865,7045.821777
1576,198.557,0.022555622779018427,7041.608398
1577,198.683,0.01552909344667939,7043.469727
1578,198.81,-0.012592460981357486,7041.06543
1579,198.935,-0.0496616742776341,7042.361816
1580,199.061,-0.10392246564481356,7044.224609
1581,199.188,-0.16916338671708192,7047.639648
1582,199.314,-0.23259512729322268,7044.835449
1583,199.439,-0.29452932375520857,7042.124512
1584,199.565,-0.33475679762299815,7039.921387
1585,199.691,-0.321635730108347,7035.719727
1586,199.817,-0.29141144276938696,7040.321777
1587,199.944,-0.21846481717727068,7044.90918
1588,200.069,-0.17075094912874997,7046.165527
1589,200.195,-0.1089818126266477,7047.370605
1590,200.321,-0.07116101804686574,7057.311523
1591,200.447,-0.02647895869754243,7050.749023
1592,200.574,-0.003851415262227157,7054.285156
1593,200.699,0.011608731787777639,7097.48291
1594,200.826,0.024069200087444873,7146.612305
1595,200.951,0.030935566029609375,7169.26709
1596,201.077,0.03698143631298851,7189.089355
1597,201.204,0.039921785586904776,7194.350098
1598,201.329,0.0413985113640608,7193.694824
1599,201.455,0.03788656686144738,7176.870117
1600,201.581,0.03135546819370724,7173.769531
1601,201.707,0.008940463503144341,7113.628418
1602,201.834,-0.014965326473387133,7059.037598
1603,201.959,-0.04660904272819127,7050.402832
1604,202.085,-0.07262367574672816,7052.216797
1605,202.211,-0.07345177717429838,7048.119141
1606,202.337,-0.06827788347222125,7044.744629
1607,202.463,-0.04893812444400646,7046.63623
1608,202.589,-0.039639780127496235,7046.642578
1609,202.715,-0.04229625926368894,7048.969727
1610,202.841,-0.0663331360988453,7046.097168
1611,202.967,-0.09970624816492969,7045.757813
1612,203.093,-0.13637767069700724,7042.105957
1613,203.219,-0.14925520799223752,7050.226563
1614,203.345,-0.14070041326918814,7045.858398
1615,203.471,-0.09651304195938494,7044.486328
1616,203.597,-0.03624211842441312,7044.091309
1617,203.723,0.02551974760527975,7044.884766
1618,203.849,0.057676675754099814,7046.91748
1619,203.975,0.05333914255229601,7045.995117
1620,204.101,0.006791800899648538,7043.215332
1621,204.227,-0.07595375057275619,7043.952637
1622,204.353,-0.15897323250733647,7043.355469
1623,204.479,-0.2219637891516158,7042.003418
1624,204.605,-0.2650483041701493,7045.114258
1625,204.731,-0.228476099414174,7043.416016
1626,204.857,-0.15670685479407265,7049.00293
1627,204.983,-0.08411565074293707,7046.327148
1628,205.109,-0.0129087460728554,7046.615723
1629,205.235,0.0008868781322880251,7044.957031
1630,205.361,-0.008590234406788588,7045.343262
1631,205.487,-0.031419557761244735,7044.255371
1632,205.613,-0.0668820384947001,7046.293945
1633,205.739,-0.11073388189197138,7046.932129
1634,205.865,-0.14571866565618916,7044.29541
1635,205.991,-0.18210718664780848,7048.488281
1636,206.117,-0.21204679417793462,7042.888672
1637,206.243,-0.23161148936380063,7042.744629
1638,206.369,-0.222088015222403,7044.373047
1639,206.495,-0.1980031053837845,7040.754883
1640,206.621,-0.14707525101161933,7040.62793
1641,206.747,-0.08183865134393666,7049.803711
1642,206.873,-0.03050115377742443,7045.013672
1643,206.999,0.002484283347947361,7043.41748
1644,207.125,3.0627756627217704e-05,7047.581543
1645,207.251,-0.017438634072206964,7055.071289
1646,207.377,-0.06652482233476747,7050.855469
1647,207.503,-0.11452672780841419,7051.523438
1648,207.63,-0.15418818680832888,7051.989258
1649,207.755,-0.18814694173025887,7054.727051
1650,207.881,-0.2019584128362101,7085.119629
1651,208.007,-0.19280390139732242,7078.284668
1652,208.133,-0.1804134141118078,7101.327148
1653,208.259,-0.15526954253293873,7119.572754
1654,208.385,-0.12800092655355083,7130.677246
1655,208.511,-0.11193543268379601,7136.496582
1656,208.637,-0.0883351136202204,7129.307129
1657,208.763,-0.05515990817274004,7135.744141
1658,208.889,-0.020587363394359168,7144.995117
1659,209.015,0.01927152680539372,7146.421387
1660,209.141,0.04821392259683285,7137.433594
1661,209.267,0.07113174395066299,7146.161621
1662,209.393,0.06261293684050602,7148.439453
1663,209.519,0.035343675922188574,7148.509277
1664,209.645,-0.00343568235759345,7151.003906
1665,209.771,-0.05024024308248456,7134.383301
